,id,title,author,genre,story,score,thumbnail_url,platform
333,333,도망자,신영우,"스토리, 액션","감옥에 수감된 하태수, 그를 죽이려는 잭, 그를 지키려는 강정오.
쫓고 쫓기는 세 명이, 차량전복으로 동시에 기억상실증에 걸리게 되는데...
&lt;키드갱&gt; 신영우 작가의 코믹액션이 돌아왔다!",9.846999999999998,https://shared-comic.pstatic.net/thumb/webtoon/690503/thumbnail/title_thumbnail_20170106153614_t125x101.jpg,네이버 웹툰
334,334,소녀재판,루즌아 / 보로콤,"스토리, 드라마","학교에서 아무것도 아니었던 소녀의 예측불허 재판이 시작된다!
평범한 박가을은 소위 '잘나가는 그룹'에 속하는 한유현의 비밀스러운 사건을 목격하고
이를 이용해 한유현을 협박해서 본인이 동경했던 그룹에 속하고 싶어하는데...",9.886,https://shared-comic.pstatic.net/thumb/webtoon/743838/thumbnail/thumbnail_IMAG06_d42c03ac-48d1-4230-a102-bbd4df6f22bc.jpg,네이버 웹툰
335,335,천하제일인,권순규 / 신권이,"스토리, 액션","걸렸다하면 영혼까지 탈탈 털어 
참교육 시켜주시는 화악골 심부름꾼, 소마.
가공할 마령성의 위협으로부터 화악골을 지켜야 하는데...

​지킬 수... 있을까??",9.796000000000001,https://shared-comic.pstatic.net/thumb/webtoon/751207/thumbnail/thumbnail_IMAG06_d62e027b-fdf8-4e37-ad13-649ddde2264b.jpg,네이버 웹툰
336,336,나만 보여!,LICO,"스토리, 판타지","학교 익명게시판이 나에게만 실명으로 보인다면?
교내 익명 어플 ‘몰래몰래’에는 여러 가지 비밀들이 매일 익명으로 올라온다.
10년째 소꿉친구인 '하영'을 짝사랑 중인 '민준'은 '몰래몰래' 다운로드 중 생긴 오류로 인해 익명 게시글들이 모두 실명으로 보이게 되고, '하영'의 남자친구인 '기주'가 바람피우고 있다는 충격적인 사실을 알게 되는데...",9.705000000000002,https://shared-comic.pstatic.net/thumb/webtoon/763308/thumbnail/thumbnail_IMAG06_957d4e38-ca6f-499d-88d4-1c3a7e5826e4.jpg,네이버 웹툰
337,337,"곱게 키웠더니, 짐승","이른꽃,티바 / 여슬기","에피소드, 드라마","반쪽짜리 황녀 블론디나. 외로운 그녀의 유일한 친구는 귀여운 고양이...가 아니라, 만인이 두려워하는 흑표범 신수 에이몬!
자신과 닮아 외로워 보이는 신수님을 치료해주고, 간식 주고, 곱게 키워줬더니...
""그렇게 도망가면 사냥하고 싶어져."" 오히려 곱게 잡아먹히게 생겼다?!",9.977,https://shared-comic.pstatic.net/thumb/webtoon/761104/thumbnail/thumbnail_IMAG06_54c361d4-8021-4d0d-9a98-618077f2a87e.jpg,네이버 웹툰
338,338,오로지 너를 이기고 싶어,아마도지 / 사삭,"에피소드, 로맨스","태어나서 단 한번도 패배해본 적 없는 남주 '이기고'
그런 이기고를 처음으로 패배하게 만든 여주 '오로지'
과연 이 '내기'의 승자는 누가 될 것인가?",9.969000000000001,https://shared-comic.pstatic.net/thumb/webtoon/730657/thumbnail/thumbnail_IMAG06_9ed3683f-7712-4767-9bde-78d03f46d777.jpg,네이버 웹툰
339,339,사람은 고쳐 쓰는 게 아니야!,염라 / 구일하,"스토리, 판타지","나는 신이 제일 먼저 만든 인간이었다. 나는 사랑받는 게 당연해서 타인에게 한번도 사랑을 베풀지 않았다.
어느 날, 신이 노하여 내 앞에 나타났고 내게 문제를 내었다.
나는 그 문제의 답을 찾을 때까지 마음대로 죽지 못한다.
이번에 환생하면 답을 꼭 찾겠어. 그런데... “뺘아아!” 아기 황녀의 몸으로 환생?! 망했다!",9.854000000000001,https://shared-comic.pstatic.net/thumb/webtoon/758664/thumbnail/thumbnail_IMAG06_c76515e5-8386-4e4a-9e04-9ddaefb9de5e.jpg,네이버 웹툰
340,340,경비 배두만,이영곤,"스토리, 액션","지난 인생이 후회스러운 건달 출신의 60대 아파트 경비원 '두만'과 남은 인생이 막막한 20대 흥신소 직원 '새봄'
거대한 범죄 세력에 맞서기 위해 힘을 합쳤다!",9.951000000000002,https://shared-comic.pstatic.net/thumb/webtoon/744384/thumbnail/thumbnail_IMAG06_1c2fdf52-d368-4b3d-99ee-e8e9bf04cc15.jpg,네이버 웹툰
341,341,살아남은 로맨스,이연,"스토리, 판타지","로맨스 소설에 빙의해 행복한 삶을 살던 채린.
그녀의 눈에 남자주인공인 '제하' 외에는 모두 검은색 그림자로밖에 보이지 않는다.
그리고 갑자기 바뀐 소설의 장르. 
살아남으려면 엑스트라들과 손을 잡아야 한다!!
&lt;화장 지워주는 남자&gt; 이연 작가의 차기작, 세상에 이런 장르는 없었다!",9.973333333333333,https://shared-comic.pstatic.net/thumb/webtoon/764129/thumbnail/thumbnail_IMAG06_ee0264f8-db54-41d5-b1bb-93bc06340003.jpg,네이버 웹툰
342,342,행성인간,조석,"스토리, 스릴러","내가 어떤 존재들의 행성이라면?
조석 작가가 그리는 신개념 스릴러",9.967,https://shared-comic.pstatic.net/thumb/webtoon/733047/thumbnail/thumbnail_IMAG06_ee087419-c04c-4ede-8087-b233384370f5.jpg,네이버 웹툰
