,id,title,author,genre,story,score,thumbnail_url,platform
563,563,리얼주주,손태규,"옴니버스, 개그","12지전사의 작가 손태규의 웹툰 데뷔작

리얼(?)한 동물원 리얼주주에서 벌어지는 아기자기한 이야기. 리얼주주로 놀러오세요.",9.899000000000001,https://shared-comic.pstatic.net/thumb/webtoon/51007/thumbnail/title_thumbnail_20081106172707_t125x101.jpg,네이버 웹툰
564,564,고고고,정은경 / 하일권,"스토리, 판타지","치매 걸린 할아버지, 게임 폐인 아빠와 살고 있는 고민

원효대사가 남긴 해골물을 찾아달라는 의뢰를 받고

삼부자가 떠나게 되는데...",9.968,https://shared-comic.pstatic.net/thumb/webtoon/655277/thumbnail/title_thumbnail_20150526144735_t125x101.jpg,네이버 웹툰
565,565,라크리모사,임인스,"스토리, 판타지","싸우자 귀신아, 그 마지막 이야기",9.788,https://shared-comic.pstatic.net/thumb/webtoon/662898/thumbnail/title_thumbnail_20150911205458_t125x101.jpg,네이버 웹툰
566,566,데드데이즈(DEAD DAYS),DEY,"스토리, 스릴러","좀비성 바이러스가 퍼진 세계. 4일 후의 이야기.
살고싶은 본능, 살리고 싶은 마음 그리고 이기적인 욕망.
살아남은 자들의 숨막히는 생존기",9.971,https://shared-comic.pstatic.net/thumb/webtoon/628998/thumbnail/title_thumbnail_20150617193039_t125x101.jpg,네이버 웹툰
567,567,"아이소포스 1, 2부",김양수 / 도가도,"스토리, 시대극","이솝우화의 이솝, 자신의 운명을 바꾼 한 사람의 이야기.",9.932500000000001,https://shared-comic.pstatic.net/thumb/webtoon/570505/thumbnail/title_thumbnail_20141118184158_t125x101.jpg,네이버 웹툰
568,568,장미아파트 공경비,권정희 / 박병규,"스토리, 드라마","취업도 힘들다. 사랑도 힘들다. 그래도 희망은 있다. 
이십대 경비의 좌충우돌기!",9.945000000000002,https://shared-comic.pstatic.net/thumb/webtoon/537989/thumbnail/title_thumbnail_20130205143035_t125x101.jpg,네이버 웹툰
569,569,공주는 잠 못 이루고,하가,"스토리, 시대극","당신 없이는 살 수 없어
나는 구원 받을 수 있습니까?",9.965,https://shared-comic.pstatic.net/thumb/webtoon/655748/thumbnail/title_thumbnail_20150612234533_t125x101.jpg,네이버 웹툰
570,570,안 돼요 마왕님!,마로,"스토리, 로맨스","인터넷 소설 마니아 마왕, 진정한 사랑을 찾아 인간계로 떠나다.
 
본격 순정 코미디.",9.941,https://shared-comic.pstatic.net/thumb/webtoon/602923/thumbnail/title_thumbnail_20150129150736_t125x101.jpg,네이버 웹툰
571,571,바람이 머무는 난,신월,"스토리, 판타지",어느날 지상 최후의 용과 마주하게 된 한 여자아이의 이야기,9.952000000000002,https://shared-comic.pstatic.net/thumb/webtoon/414609/thumbnail/title_thumbnail_20150708234240_t125x101.jpg,네이버 웹툰
572,572,시큼새큼,묘니,"스토리, 로맨스","내 이야기를 들어주는 사람이 있다는 건 큰 축복이야.
평범하진 않지만 평범한 순정만화.",9.950000000000001,https://shared-comic.pstatic.net/thumb/webtoon/509092/thumbnail/title_thumbnail_20140106195311_t125x101.jpg,네이버 웹툰
573,573,크레이터,태발,"스토리, 액션","전투를 위해 태어난 인간 투견!

주인을 위해 목숨을 걸고 싸워라!",9.925,https://shared-comic.pstatic.net/thumb/webtoon/630832/thumbnail/title_thumbnail_20140721102949_t125x101.jpg,네이버 웹툰
574,574,심연의 하늘 시즌 1~3,윤인완 / 김선희,"스토리, 스릴러","한치 앞도 보이지 않는 어둠 속 서울.
도대체 무슨 일이 벌어진 걸까?",9.796000000000001,https://shared-comic.pstatic.net/thumb/webtoon/608261/thumbnail/title_thumbnail_20150428114856_t125x101.jpg,네이버 웹툰
575,575,남과 여,혀노,"스토리, 드라마","&lt;죽음에 관하여&gt;, &lt;네가 없는 세상&gt; 혀노 작가의 솔로 데뷔작,
솔직한 20대의 흔한 사랑 이야기.",9.976,https://shared-comic.pstatic.net/thumb/webtoon/632341/thumbnail/thumbnail_IMAG06_20190617_migrated.jpg,네이버 웹툰
576,576,2015 소름,웹툰작가,"옴니버스, 스릴러","2015 여름특집 공포 단편선. 
당신에게도 일어날 수 있는 이야기",9.789000000000001,https://shared-comic.pstatic.net/thumb/webtoon/657934/thumbnail/title_thumbnail_20150713195457_t125x101.jpg,네이버 웹툰
577,577,두근거려요,뚱땡이냐옹이,"스토리, 로맨스","두 번째 사랑을 할 수 있을까?

라미의 두근두근 사랑 이야기",9.887,https://shared-comic.pstatic.net/thumb/webtoon/632344/thumbnail/title_thumbnail_20140901175741_t125x101.jpg,네이버 웹툰
578,578,일등당첨,미티,"스토리, 드라마","당신이 꿈꿔온 인생역전 드라마!
당첨되면 뭐할래요?",9.845,https://shared-comic.pstatic.net/thumb/webtoon/619935/thumbnail/title_thumbnail_20140409175252_t125x101.jpg,네이버 웹툰
579,579,Ho!,억수씨,"스토리, 드라마","청각장애인 Ho와 찌질남 원이가 펼치는 전혀 연애이야기 같지 않은 연애이야기
과연 늑대에게도 순정은 있는가?!",9.9675,https://shared-comic.pstatic.net/thumb/webtoon/638994/thumbnail/title_thumbnail_20141226180133_t125x101.jpg,네이버 웹툰
580,580,신령,이혜,"스토리, 판타지","신이라 불리는 방울. 그 방울의 선택을 받은 약소국의 어린왕 홍령과
방울의 비밀을 둘러싼 과거와 현재 이야기.",9.960000000000003,https://shared-comic.pstatic.net/thumb/webtoon/507638/thumbnail/title_thumbnail_20140704105058_t125x101.jpg,네이버 웹툰
